bucket,lower_boundary,upper_boundary,frequency,distinct_values
1,131,124118,250,250
2,124198,255071,250,250
3,256015,383393,250,250
4,384002,514336,250,250
5,514451,635485,250,250
6,635704,769108,250,250
7,769553,904333,250,250
8,904394,1027133,250,250
9,1028395,1151816,250,250
10,1152319,1293390,250,250
11,1294188,1419088,250,250
12,1419183,1545279,250,250
13,1545904,1670242,250,250
14,1670446,1786731,250,250
15,1787355,1919436,250,250
16,1919878,2046085,250,250
17,2046179,2160856,250,250
18,2160898,2283435,250,250
19,2283506,2410390,250,250
20,2410625,2527725,250,250
